Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
57,8171084002,2A9,FADC,2A8,FADC,000,02A8,0000,004,010071
71,81E0044002,2A9,FADC,2A8,FADC,000,02A8,0000,004,010072
72,81E0024002,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E0
E0,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E1
E1,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E2
E2,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E3
E3,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E4
E4,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E5
E5,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E6
E6,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E7
E7,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E8
E8,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100E9
E9,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100EA
EA,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100EB
EB,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100EC
EC,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100ED
ED,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100EE
EE,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100EF
EF,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F0
F0,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F1
F1,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F2
F2,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F3
F3,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F4
F4,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F5
F5,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F6
F6,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F7
F7,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F8
F8,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100F9
F9,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100FA
FA,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100FB
FB,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100FC
FC,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100FD
FD,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100FE
FE,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,0100FF
FF,0000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,010000
00,4000000000,2A9,FADC,2A8,FADC,000,02A8,0000,004,010001
01,00A0009004,2A9,FADC,2A9,FADC,000,02A9,0000,004,010002
02,0104009420,2AA,FADC,2A9,0000,000,02A9,0000,004,010003
03,0002009001,2AA,0000,2A9,0000,000,02A9,0000,004,010004
04,8109804002,2AA,0000,2A9,0000,000,02A9,0000,004,010005
05,810C404002,2AA,0000,2A9,0000,000,02A9,0000,004,010006
06,810C204002,2AA,0000,2A9,0000,000,02A9,0000,004,010007
07,8078104002,2AA,0000,2A9,0000,000,02A9,0000,004,010078
78,81A4084002,2AA,0000,2A9,0000,000,02A9,0000,004,010079
79,8189044002,2AA,0000,2A9,0000,000,02A9,0000,004,01007A
7A,817D024002,2AA,0000,2A9,0000,000,02A9,0000,004,01007B
7B,80C4014002,2AA,0000,2A9,0000,000,02A9,0000,004,0100C4
C4,80DE801040,2AA,0000,2A9,0000,000,02A9,0000,004,0100DE
DE,4000000000,2AA,0000,2A9,0000,000,02A9,0000,004,0100DF
DF,8001101040,2AA,0000,2A9,0000,000,02A9,0000,004,010001
01,00A0009004,2AA,0000,2AA,0000,000,02AA,0000,004,010002
02,0104009420,2AB,0000,2AA,0000,000,02AA,0000,004,010003
03,0002009001,2AB,0000,2AA,0000,000,02AA,0000,004,010004
04,8109804002,2AB,0000,2AA,0000,000,02AA,0000,004,010005
05,810C404002,2AB,0000,2AA,0000,000,02AA,0000,004,010006
06,810C204002,2AB,0000,2AA,0000,000,02AA,0000,004,010007
07,8078104002,2AB,0000,2AA,0000,000,02AA,0000,004,010078
78,81A4084002,2AB,0000,2AA,0000,000,02AA,0000,004,010079
79,8189044002,2AB,0000,2AA,0000,000,02AA,0000,004,01007A
7A,817D024002,2AB,0000,2AA,0000,000,02AA,0000,004,01007B
7B,80C4014002,2AB,0000,2AA,0000,000,02AA,0000,004,0100C4
C4,80DE801040,2AB,0000,2AA,0000,000,02AA,0000,004,0100DE
DE,4000000000,2AB,0000,2AA,0000,000,02AA,0000,004,0100DF
DF,8001101040,2AB,0000,2AA,0000,000,02AA,0000,004,010001
01,00A0009004,2AB,0000,2AB,0000,000,02AB,0000,004,010002
02,0104009420,2AC,0000,2AB,0000,000,02AB,0000,004,010003
03,0002009001,2AC,0000,2AB,0000,000,02AB,0000,004,010004
04,8109804002,2AC,0000,2AB,0000,000,02AB,0000,004,010005
05,810C404002,2AC,0000,2AB,0000,000,02AB,0000,004,010006
06,810C204002,2AC,0000,2AB,0000,000,02AB,0000,004,010007
07,8078104002,2AC,0000,2AB,0000,000,02AB,0000,004,010078
78,81A4084002,2AC,0000,2AB,0000,000,02AB,0000,004,010079
79,8189044002,2AC,0000,2AB,0000,000,02AB,0000,004,01007A
7A,817D024002,2AC,0000,2AB,0000,000,02AB,0000,004,01007B
7B,80C4014002,2AC,0000,2AB,0000,000,02AB,0000,004,0100C4
C4,80DE801040,2AC,0000,2AB,0000,000,02AB,0000,004,0100DE
DE,4000000000,2AC,0000,2AB,0000,000,02AB,0000,004,0100DF
DF,8001101040,2AC,0000,2AB,0000,000,02AB,0000,004,010001
01,00A0009004,2AC,0000,2AC,0000,000,02AC,0000,004,010002
02,0104009420,2AD,0000,2AC,0000,000,02AC,0000,004,010003
03,0002009001,2AD,0000,2AC,0000,000,02AC,0000,004,010004
04,8109804002,2AD,0000,2AC,0000,000,02AC,0000,004,010005
05,810C404002,2AD,0000,2AC,0000,000,02AC,0000,004,010006
06,810C204002,2AD,0000,2AC,0000,000,02AC,0000,004,010007
07,8078104002,2AD,0000,2AC,0000,000,02AC,0000,004,010078
78,81A4084002,2AD,0000,2AC,0000,000,02AC,0000,004,010079
79,8189044002,2AD,0000,2AC,0000,000,02AC,0000,004,01007A
7A,817D024002,2AD,0000,2AC,0000,000,02AC,0000,004,01007B
7B,80C4014002,2AD,0000,2AC,0000,000,02AC,0000,004,0100C4
C4,80DE801040,2AD,0000,2AC,0000,000,02AC,0000,004,0100DE
DE,4000000000,2AD,0000,2AC,0000,000,02AC,0000,004,0100DF
DF,8001101040,2AD,0000,2AC,0000,000,02AC,0000,004,010001
01,00A0009004,2AD,0000,2AD,0000,000,02AD,0000,004,010002
02,0104009420,2AE,0000,2AD,0000,000,02AD,0000,004,010003
03,0002009001,2AE,0000,2AD,0000,000,02AD,0000,004,010004
04,8109804002,2AE,0000,2AD,0000,000,02AD,0000,004,010005
05,810C404002,2AE,0000,2AD,0000,000,02AD,0000,004,010006
06,810C204002,2AE,0000,2AD,0000,000,02AD,0000,004,010007
07,8078104002,2AE,0000,2AD,0000,000,02AD,0000,004,010078
78,81A4084002,2AE,0000,2AD,0000,000,02AD,0000,004,010079
79,8189044002,2AE,0000,2AD,0000,000,02AD,0000,004,01007A
7A,817D024002,2AE,0000,2AD,0000,000,02AD,0000,004,01007B
7B,80C4014002,2AE,0000,2AD,0000,000,02AD,0000,004,0100C4
C4,80DE801040,2AE,0000,2AD,0000,000,02AD,0000,004,0100DE
DE,4000000000,2AE,0000,2AD,0000,000,02AD,0000,004,0100DF
DF,8001101040,2AE,0000,2AD,0000,000,02AD,0000,004,010001
01,00A0009004,2AE,0000,2AE,0000,000,02AE,0000,004,010002
02,0104009420,2AF,0000,2AE,0000,000,02AE,0000,004,010003
03,0002009001,2AF,0000,2AE,0000,000,02AE,0000,004,010004
04,8109804002,2AF,0000,2AE,0000,000,02AE,0000,004,010005
05,810C404002,2AF,0000,2AE,0000,000,02AE,0000,004,010006
06,810C204002,2AF,0000,2AE,0000,000,02AE,0000,004,010007
07,8078104002,2AF,0000,2AE,0000,000,02AE,0000,004,010078
78,81A4084002,2AF,0000,2AE,0000,000,02AE,0000,004,010079
79,8189044002,2AF,0000,2AE,0000,000,02AE,0000,004,01007A
7A,817D024002,2AF,0000,2AE,0000,000,02AE,0000,004,01007B
7B,80C4014002,2AF,0000,2AE,0000,000,02AE,0000,004,0100C4
C4,80DE801040,2AF,0000,2AE,0000,000,02AE,0000,004,0100DE
DE,4000000000,2AF,0000,2AE,0000,000,02AE,0000,004,0100DF
DF,8001101040,2AF,0000,2AE,0000,000,02AE,0000,004,010001
01,00A0009004,2AF,0000,2AF,0000,000,02AF,0000,004,010002
02,0104009420,2B0,0000,2AF,0000,000,02AF,0000,004,010003
03,0002009001,2B0,0000,2AF,0000,000,02AF,0000,004,010004
04,8109804002,2B0,0000,2AF,0000,000,02AF,0000,004,010005
05,810C404002,2B0,0000,2AF,0000,000,02AF,0000,004,010006
06,810C204002,2B0,0000,2AF,0000,000,02AF,0000,004,010007
07,8078104002,2B0,0000,2AF,0000,000,02AF,0000,004,010078
78,81A4084002,2B0,0000,2AF,0000,000,02AF,0000,004,010079
79,8189044002,2B0,0000,2AF,0000,000,02AF,0000,004,01007A
7A,817D024002,2B0,0000,2AF,0000,000,02AF,0000,004,01007B
7B,80C4014002,2B0,0000,2AF,0000,000,02AF,0000,004,0100C4
C4,80DE801040,2B0,0000,2AF,0000,000,02AF,0000,004,0100DE
DE,4000000000,2B0,0000,2AF,0000,000,02AF,0000,004,0100DF
DF,8001101040,2B0,0000,2AF,0000,000,02AF,0000,004,010001
01,00A0009004,2B0,0000,2B0,0000,000,02B0,0000,004,010002
02,0104009420,2B1,0000,2B0,0000,000,02B0,0000,004,010003
03,0002009001,2B1,0000,2B0,0000,000,02B0,0000,004,010004
04,8109804002,2B1,0000,2B0,0000,000,02B0,0000,004,010005
05,810C404002,2B1,0000,2B0,0000,000,02B0,0000,004,010006
06,810C204002,2B1,0000,2B0,0000,000,02B0,0000,004,010007
07,8078104002,2B1,0000,2B0,0000,000,02B0,0000,004,010078
78,81A4084002,2B1,0000,2B0,0000,000,02B0,0000,004,010079
79,8189044002,2B1,0000,2B0,0000,000,02B0,0000,004,01007A
7A,817D024002,2B1,0000,2B0,0000,000,02B0,0000,004,01007B
7B,80C4014002,2B1,0000,2B0,0000,000,02B0,0000,004,0100C4
C4,80DE801040,2B1,0000,2B0,0000,000,02B0,0000,004,0100DE
DE,4000000000,2B1,0000,2B0,0000,000,02B0,0000,004,0100DF
DF,8001101040,2B1,0000,2B0,0000,000,02B0,0000,004,010001
01,00A0009004,2B1,0000,2B1,0000,000,02B1,0000,004,010002
02,0104009420,2B2,0000,2B1,0000,000,02B1,0000,004,010003
03,0002009001,2B2,0000,2B1,0000,000,02B1,0000,004,010004
04,8109804002,2B2,0000,2B1,0000,000,02B1,0000,004,010005
05,810C404002,2B2,0000,2B1,0000,000,02B1,0000,004,010006
06,810C204002,2B2,0000,2B1,0000,000,02B1,0000,004,010007
07,8078104002,2B2,0000,2B1,0000,000,02B1,0000,004,010078
78,81A4084002,2B2,0000,2B1,0000,000,02B1,0000,004,010079
79,8189044002,2B2,0000,2B1,0000,000,02B1,0000,004,01007A
7A,817D024002,2B2,0000,2B1,0000,000,02B1,0000,004,01007B
7B,80C4014002,2B2,0000,2B1,0000,000,02B1,0000,004,0100C4
C4,80DE801040,2B2,0000,2B1,0000,000,02B1,0000,004,0100DE
DE,4000000000,2B2,0000,2B1,0000,000,02B1,0000,004,0100DF
DF,8001101040,2B2,0000,2B1,0000,000,02B1,0000,004,010001
01,00A0009004,2B2,0000,2B2,0000,000,02B2,0000,004,010002
02,0104009420,2B3,0000,2B2,0000,000,02B2,0000,004,010003
03,0002009001,2B3,0000,2B2,0000,000,02B2,0000,004,010004
04,8109804002,2B3,0000,2B2,0000,000,02B2,0000,004,010005
05,810C404002,2B3,0000,2B2,0000,000,02B2,0000,004,010006
06,810C204002,2B3,0000,2B2,0000,000,02B2,0000,004,010007
07,8078104002,2B3,0000,2B2,0000,000,02B2,0000,004,010078
78,81A4084002,2B3,0000,2B2,0000,000,02B2,0000,004,010079
79,8189044002,2B3,0000,2B2,0000,000,02B2,0000,004,01007A
7A,817D024002,2B3,0000,2B2,0000,000,02B2,0000,004,01007B
7B,80C4014002,2B3,0000,2B2,0000,000,02B2,0000,004,0100C4
C4,80DE801040,2B3,0000,2B2,0000,000,02B2,0000,004,0100DE
DE,4000000000,2B3,0000,2B2,0000,000,02B2,0000,004,0100DF
DF,8001101040,2B3,0000,2B2,0000,000,02B2,0000,004,010001
01,00A0009004,2B3,0000,2B3,0000,000,02B3,0000,004,010002
02,0104009420,2B4,0000,2B3,0000,000,02B3,0000,004,010003
03,0002009001,2B4,0000,2B3,0000,000,02B3,0000,004,010004
04,8109804002,2B4,0000,2B3,0000,000,02B3,0000,004,010005
05,810C404002,2B4,0000,2B3,0000,000,02B3,0000,004,010006
06,810C204002,2B4,0000,2B3,0000,000,02B3,0000,004,010007
07,8078104002,2B4,0000,2B3,0000,000,02B3,0000,004,010078
78,81A4084002,2B4,0000,2B3,0000,000,02B3,0000,004,010079
79,8189044002,2B4,0000,2B3,0000,000,02B3,0000,004,01007A
7A,817D024002,2B4,0000,2B3,0000,000,02B3,0000,004,01007B
7B,80C4014002,2B4,0000,2B3,0000,000,02B3,0000,004,0100C4
C4,80DE801040,2B4,0000,2B3,0000,000,02B3,0000,004,0100DE
DE,4000000000,2B4,0000,2B3,0000,000,02B3,0000,004,0100DF
DF,8001101040,2B4,0000,2B3,0000,000,02B3,0000,004,010001
01,00A0009004,2B4,0000,2B4,0000,000,02B4,0000,004,010002
02,0104009420,2B5,0000,2B4,0000,000,02B4,0000,004,010003
03,0002009001,2B5,0000,2B4,0000,000,02B4,0000,004,010004
04,8109804002,2B5,0000,2B4,0000,000,02B4,0000,004,010005
05,810C404002,2B5,0000,2B4,0000,000,02B4,0000,004,010006
06,810C204002,2B5,0000,2B4,0000,000,02B4,0000,004,010007
07,8078104002,2B5,0000,2B4,0000,000,02B4,0000,004,010078
78,81A4084002,2B5,0000,2B4,0000,000,02B4,0000,004,010079
79,8189044002,2B5,0000,2B4,0000,000,02B4,0000,004,01007A
7A,817D024002,2B5,0000,2B4,0000,000,02B4,0000,004,01007B
7B,80C4014002,2B5,0000,2B4,0000,000,02B4,0000,004,0100C4
C4,80DE801040,2B5,0000,2B4,0000,000,02B4,0000,004,0100DE
DE,4000000000,2B5,0000,2B4,0000,000,02B4,0000,004,0100DF
DF,8001101040,2B5,0000,2B4,0000,000,02B4,0000,004,010001
01,00A0009004,2B5,0000,2B5,0000,000,02B5,0000,004,010002
02,0104009420,2B6,0000,2B5,0000,000,02B5,0000,004,010003
03,0002009001,2B6,0000,2B5,0000,000,02B5,0000,004,010004
04,8109804002,2B6,0000,2B5,0000,000,02B5,0000,004,010005
05,810C404002,2B6,0000,2B5,0000,000,02B5,0000,004,010006
06,810C204002,2B6,0000,2B5,0000,000,02B5,0000,004,010007
07,8078104002,2B6,0000,2B5,0000,000,02B5,0000,004,010078
78,81A4084002,2B6,0000,2B5,0000,000,02B5,0000,004,010079
79,8189044002,2B6,0000,2B5,0000,000,02B5,0000,004,01007A
7A,817D024002,2B6,0000,2B5,0000,000,02B5,0000,004,01007B
7B,80C4014002,2B6,0000,2B5,0000,000,02B5,0000,004,0100C4
C4,80DE801040,2B6,0000,2B5,0000,000,02B5,0000,004,0100DE
DE,4000000000,2B6,0000,2B5,0000,000,02B5,0000,004,0100DF
DF,8001101040,2B6,0000,2B5,0000,000,02B5,0000,004,010001
01,00A0009004,2B6,0000,2B6,0000,000,02B6,0000,004,010002
02,0104009420,2B7,0000,2B6,0000,000,02B6,0000,004,010003
03,0002009001,2B7,0000,2B6,0000,000,02B6,0000,004,010004
04,8109804002,2B7,0000,2B6,0000,000,02B6,0000,004,010005
05,810C404002,2B7,0000,2B6,0000,000,02B6,0000,004,010006
06,810C204002,2B7,0000,2B6,0000,000,02B6,0000,004,010007
07,8078104002,2B7,0000,2B6,0000,000,02B6,0000,004,010078
78,81A4084002,2B7,0000,2B6,0000,000,02B6,0000,004,010079
79,8189044002,2B7,0000,2B6,0000,000,02B6,0000,004,01007A
7A,817D024002,2B7,0000,2B6,0000,000,02B6,0000,004,01007B
7B,80C4014002,2B7,0000,2B6,0000,000,02B6,0000,004,0100C4
C4,80DE801040,2B7,0000,2B6,0000,000,02B6,0000,004,0100DE
DE,4000000000,2B7,0000,2B6,0000,000,02B6,0000,004,0100DF
DF,8001101040,2B7,0000,2B6,0000,000,02B6,0000,004,010001
01,00A0009004,2B7,0000,2B7,0000,000,02B7,0000,004,010002
02,0104009420,2B8,0000,2B7,0000,000,02B7,0000,004,010003
03,0002009001,2B8,0000,2B7,0000,000,02B7,0000,004,010004
04,8109804002,2B8,0000,2B7,0000,000,02B7,0000,004,010005
05,810C404002,2B8,0000,2B7,0000,000,02B7,0000,004,010006
06,810C204002,2B8,0000,2B7,0000,000,02B7,0000,004,010007
07,8078104002,2B8,0000,2B7,0000,000,02B7,0000,004,010078
78,81A4084002,2B8,0000,2B7,0000,000,02B7,0000,004,010079
79,8189044002,2B8,0000,2B7,0000,000,02B7,0000,004,01007A
7A,817D024002,2B8,0000,2B7,0000,000,02B7,0000,004,01007B
7B,80C4014002,2B8,0000,2B7,0000,000,02B7,0000,004,0100C4
C4,80DE801040,2B8,0000,2B7,0000,000,02B7,0000,004,0100DE
DE,4000000000,2B8,0000,2B7,0000,000,02B7,0000,004,0100DF
DF,8001101040,2B8,0000,2B7,0000,000,02B7,0000,004,010001
01,00A0009004,2B8,0000,2B8,0000,000,02B8,0000,004,010002
02,0104009420,2B9,0000,2B8,0000,000,02B8,0000,004,010003
03,0002009001,2B9,0000,2B8,0000,000,02B8,0000,004,010004
04,8109804002,2B9,0000,2B8,0000,000,02B8,0000,004,010005
05,810C404002,2B9,0000,2B8,0000,000,02B8,0000,004,010006
06,810C204002,2B9,0000,2B8,0000,000,02B8,0000,004,010007
07,8078104002,2B9,0000,2B8,0000,000,02B8,0000,004,010078
78,81A4084002,2B9,0000,2B8,0000,000,02B8,0000,004,010079
79,8189044002,2B9,0000,2B8,0000,000,02B8,0000,004,01007A
7A,817D024002,2B9,0000,2B8,0000,000,02B8,0000,004,01007B
7B,80C4014002,2B9,0000,2B8,0000,000,02B8,0000,004,0100C4
C4,80DE801040,2B9,0000,2B8,0000,000,02B8,0000,004,0100DE
DE,4000000000,2B9,0000,2B8,0000,000,02B8,0000,004,0100DF
DF,8001101040,2B9,0000,2B8,0000,000,02B8,0000,004,010001
01,00A0009004,2B9,0000,2B9,0000,000,02B9,0000,004,010002
02,0104009420,2BA,0000,2B9,0000,000,02B9,0000,004,010003
03,0002009001,2BA,0000,2B9,0000,000,02B9,0000,004,010004
04,8109804002,2BA,0000,2B9,0000,000,02B9,0000,004,010005
05,810C404002,2BA,0000,2B9,0000,000,02B9,0000,004,010006
06,810C204002,2BA,0000,2B9,0000,000,02B9,0000,004,010007
07,8078104002,2BA,0000,2B9,0000,000,02B9,0000,004,010078
78,81A4084002,2BA,0000,2B9,0000,000,02B9,0000,004,010079
79,8189044002,2BA,0000,2B9,0000,000,02B9,0000,004,01007A
7A,817D024002,2BA,0000,2B9,0000,000,02B9,0000,004,01007B
7B,80C4014002,2BA,0000,2B9,0000,000,02B9,0000,004,0100C4
C4,80DE801040,2BA,0000,2B9,0000,000,02B9,0000,004,0100DE
DE,4000000000,2BA,0000,2B9,0000,000,02B9,0000,004,0100DF
DF,8001101040,2BA,0000,2B9,0000,000,02B9,0000,004,010001
01,00A0009004,2BA,0000,2BA,0000,000,02BA,0000,004,010002
02,0104009420,2BB,0000,2BA,0000,000,02BA,0000,004,010003
03,0002009001,2BB,0000,2BA,0000,000,02BA,0000,004,010004
04,8109804002,2BB,0000,2BA,0000,000,02BA,0000,004,010005
05,810C404002,2BB,0000,2BA,0000,000,02BA,0000,004,010006
06,810C204002,2BB,0000,2BA,0000,000,02BA,0000,004,010007
07,8078104002,2BB,0000,2BA,0000,000,02BA,0000,004,010078
78,81A4084002,2BB,0000,2BA,0000,000,02BA,0000,004,010079
79,8189044002,2BB,0000,2BA,0000,000,02BA,0000,004,01007A
7A,817D024002,2BB,0000,2BA,0000,000,02BA,0000,004,01007B
7B,80C4014002,2BB,0000,2BA,0000,000,02BA,0000,004,0100C4
C4,80DE801040,2BB,0000,2BA,0000,000,02BA,0000,004,0100DE
DE,4000000000,2BB,0000,2BA,0000,000,02BA,0000,004,0100DF
DF,8001101040,2BB,0000,2BA,0000,000,02BA,0000,004,010001
01,00A0009004,2BB,0000,2BB,0000,000,02BB,0000,004,010002
02,0104009420,2BC,0000,2BB,0000,000,02BB,0000,004,010003
03,0002009001,2BC,0000,2BB,0000,000,02BB,0000,004,010004
04,8109804002,2BC,0000,2BB,0000,000,02BB,0000,004,010005
